run_key,run_label,step,epoch,epoch_from_420,diffusion_loss,distogram_loss,total_loss
biasnorm,AF3 atom pair bias baseline,42102,421,1,0.6811,1.223,1.399
biasnorm,AF3 atom pair bias baseline,42103,421,1,0.6862,1.223,1.409
biasnorm,AF3 atom pair bias baseline,42104,421,1,0.6745,1.176,1.384
biasnorm,AF3 atom pair bias baseline,42105,421,1,0.6865,1.174,1.408
biasnorm,AF3 atom pair bias baseline,42106,421,1,0.6719,1.18,1.379
biasnorm,AF3 atom pair bias baseline,42107,421,1,0.6813,1.219,1.399
biasnorm,AF3 atom pair bias baseline,42108,421,1,0.7015,1.165,1.438
biasnorm,AF3 atom pair bias baseline,42109,421,1,0.6801,1.234,1.397
biasnorm,AF3 atom pair bias baseline,42110,421,1,0.6799,1.233,1.397
biasnorm,AF3 atom pair bias baseline,42111,421,1,0.6696,1.196,1.375
biasnorm,AF3 atom pair bias baseline,42112,421,1,0.6834,1.202,1.403
biasnorm,AF3 atom pair bias baseline,42113,421,1,0.6881,1.178,1.411
biasnorm,AF3 atom pair bias baseline,42114,421,1,0.6726,1.204,1.381
biasnorm,AF3 atom pair bias baseline,42115,421,1,0.6754,1.149,1.385
biasnorm,AF3 atom pair bias baseline,42116,421,1,0.6651,1.225,1.367
biasnorm,AF3 atom pair bias baseline,42117,421,1,0.6913,1.229,1.42
biasnorm,AF3 atom pair bias baseline,42118,421,1,0.6734,1.173,1.382
biasnorm,AF3 atom pair bias baseline,42119,421,1,0.6777,1.175,1.391
biasnorm,AF3 atom pair bias baseline,42120,421,1,0.6632,1.2,1.362
biasnorm,AF3 atom pair bias baseline,42121,421,1,0.6771,1.25,1.392
biasnorm,AF3 atom pair bias baseline,42122,421,1,0.6658,1.262,1.37
biasnorm,AF3 atom pair bias baseline,42123,421,1,0.6665,1.198,1.369
biasnorm,AF3 atom pair bias baseline,42124,421,1,0.6515,1.251,1.341
biasnorm,AF3 atom pair bias baseline,42125,421,1,0.6702,1.174,1.376
biasnorm,AF3 atom pair bias baseline,42126,421,1,0.6488,1.221,1.334
biasnorm,AF3 atom pair bias baseline,42127,421,1,0.6543,1.23,1.345
biasnorm,AF3 atom pair bias baseline,42128,421,1,0.6772,1.173,1.39
biasnorm,AF3 atom pair bias baseline,42129,421,1,0.6606,1.19,1.357
biasnorm,AF3 atom pair bias baseline,42130,421,1,0.6519,1.218,1.34
biasnorm,AF3 atom pair bias baseline,42131,421,1,0.6667,1.155,1.368
biasnorm,AF3 atom pair bias baseline,42132,421,1,0.6532,1.236,1.343
biasnorm,AF3 atom pair bias baseline,42133,421,1,0.6639,1.182,1.363
biasnorm,AF3 atom pair bias baseline,42134,421,1,0.6638,1.199,1.364
biasnorm,AF3 atom pair bias baseline,42135,421,1,0.6501,1.287,1.339
biasnorm,AF3 atom pair bias baseline,42136,421,1,0.6448,1.181,1.325
biasnorm,AF3 atom pair bias baseline,42137,421,1,0.6455,1.143,1.325
biasnorm,AF3 atom pair bias baseline,42138,421,1,0.6436,1.214,1.324
biasnorm,AF3 atom pair bias baseline,42139,421,1,0.6466,1.23,1.33
biasnorm,AF3 atom pair bias baseline,42140,421,1,0.6598,1.178,1.355
biasnorm,AF3 atom pair bias baseline,42141,421,1,0.6465,1.243,1.33
biasnorm,AF3 atom pair bias baseline,42142,421,1,0.6541,1.208,1.344
biasnorm,AF3 atom pair bias baseline,42143,421,1,0.6519,1.175,1.339
biasnorm,AF3 atom pair bias baseline,42144,421,1,0.6519,1.214,1.34
biasnorm,AF3 atom pair bias baseline,42145,421,1,0.65,1.259,1.338
biasnorm,AF3 atom pair bias baseline,42146,421,1,0.6421,1.215,1.321
biasnorm,AF3 atom pair bias baseline,42147,421,1,0.6546,1.19,1.345
biasnorm,AF3 atom pair bias baseline,42148,421,1,0.6402,1.223,1.317
biasnorm,AF3 atom pair bias baseline,42149,421,1,0.6564,1.123,1.346
biasnorm,AF3 atom pair bias baseline,42150,421,1,0.6404,1.248,1.318
biasnorm,AF3 atom pair bias baseline,42151,421,1,0.648,1.213,1.332
biasnorm,AF3 atom pair bias baseline,42152,421,1,0.6296,1.212,1.296
biasnorm,AF3 atom pair bias baseline,42153,421,1,0.6351,1.242,1.307
biasnorm,AF3 atom pair bias baseline,42154,421,1,0.6443,1.241,1.326
biasnorm,AF3 atom pair bias baseline,42155,421,1,0.6337,1.273,1.306
biasnorm,AF3 atom pair bias baseline,42156,421,1,0.6399,1.156,1.314
biasnorm,AF3 atom pair bias baseline,42157,421,1,0.6363,1.17,1.308
biasnorm,AF3 atom pair bias baseline,42158,421,1,0.6311,1.207,1.298
biasnorm,AF3 atom pair bias baseline,42159,421,1,0.6257,1.226,1.288
biasnorm,AF3 atom pair bias baseline,42160,421,1,0.6106,1.223,1.258
biasnorm,AF3 atom pair bias baseline,42161,421,1,0.6296,1.205,1.295
biasnorm,AF3 atom pair bias baseline,42162,421,1,0.6296,1.187,1.295
biasnorm,AF3 atom pair bias baseline,42163,421,1,0.6113,1.243,1.26
biasnorm,AF3 atom pair bias baseline,42164,421,1,0.6205,1.24,1.278
biasnorm,AF3 atom pair bias baseline,42165,421,1,0.6228,1.232,1.283
biasnorm,AF3 atom pair bias baseline,42166,421,1,0.618,1.255,1.274
biasnorm,AF3 atom pair bias baseline,42167,421,1,0.6158,1.229,1.269
biasnorm,AF3 atom pair bias baseline,42168,421,1,0.6052,1.202,1.246
biasnorm,AF3 atom pair bias baseline,42169,421,1,0.6179,1.161,1.271
biasnorm,AF3 atom pair bias baseline,42170,421,1,0.6095,1.242,1.256
biasnorm,AF3 atom pair bias baseline,42171,421,1,0.6083,1.226,1.253
biasnorm,AF3 atom pair bias baseline,42172,421,1,0.6207,1.203,1.277
biasnorm,AF3 atom pair bias baseline,42173,421,1,0.6169,1.176,1.269
biasnorm,AF3 atom pair bias baseline,42174,421,1,0.6128,1.198,1.262
biasnorm,AF3 atom pair bias baseline,42175,421,1,0.6118,1.214,1.26
biasnorm,AF3 atom pair bias baseline,42176,421,1,0.6137,1.2,1.263
biasnorm,AF3 atom pair bias baseline,42177,421,1,0.6035,1.181,1.242
biasnorm,AF3 atom pair bias baseline,42178,421,1,0.6144,1.17,1.264
biasnorm,AF3 atom pair bias baseline,42179,421,1,0.6008,1.212,1.238
biasnorm,AF3 atom pair bias baseline,42180,421,1,0.6055,1.188,1.247
biasnorm,AF3 atom pair bias baseline,42181,421,1,0.5852,1.273,1.209
biasnorm,AF3 atom pair bias baseline,42182,421,1,0.5877,1.198,1.211
biasnorm,AF3 atom pair bias baseline,42183,421,1,0.5987,1.208,1.234
biasnorm,AF3 atom pair bias baseline,42184,421,1,0.5885,1.315,1.216
biasnorm,AF3 atom pair bias baseline,42185,421,1,0.5987,1.159,1.232
biasnorm,AF3 atom pair bias baseline,42186,421,1,0.5996,1.26,1.237
biasnorm,AF3 atom pair bias baseline,42187,421,1,0.6001,1.212,1.237
biasnorm,AF3 atom pair bias baseline,42188,421,1,0.5936,1.161,1.222
biasnorm,AF3 atom pair bias baseline,42189,421,1,0.5879,1.245,1.213
biasnorm,AF3 atom pair bias baseline,42190,421,1,0.5882,1.247,1.214
biasnorm,AF3 atom pair bias baseline,42191,421,1,0.5783,1.242,1.194
biasnorm,AF3 atom pair bias baseline,42192,421,1,0.5844,1.237,1.206
biasnorm,AF3 atom pair bias baseline,42193,421,1,0.5857,1.162,1.206
biasnorm,AF3 atom pair bias baseline,42194,421,1,0.5873,1.178,1.21
biasnorm,AF3 atom pair bias baseline,42195,421,1,0.5861,1.153,1.207
biasnorm,AF3 atom pair bias baseline,42196,421,1,0.5609,1.271,1.16
biasnorm,AF3 atom pair bias baseline,42197,421,1,0.5873,1.144,1.209
biasnorm,AF3 atom pair bias baseline,42198,421,1,0.5739,1.219,1.184
biasnorm,AF3 atom pair bias baseline,42199,421,1,0.5802,1.204,1.197
biasnorm,AF3 atom pair bias baseline,42200,421,1,0.5859,1.173,1.207
biasnorm,AF3 atom pair bias baseline,42201,422,2,0.5706,1.221,1.178
biasnorm,AF3 atom pair bias baseline,42202,422,2,0.5727,1.214,1.182
biasnorm,AF3 atom pair bias baseline,42203,422,2,0.5876,1.2,1.211
biasnorm,AF3 atom pair bias baseline,42204,422,2,0.5648,1.198,1.165
biasnorm,AF3 atom pair bias baseline,42205,422,2,0.5628,1.17,1.161
biasnorm,AF3 atom pair bias baseline,42206,422,2,0.5696,1.189,1.175
biasnorm,AF3 atom pair bias baseline,42207,422,2,0.5625,1.185,1.161
biasnorm,AF3 atom pair bias baseline,42208,422,2,0.57,1.241,1.177
biasnorm,AF3 atom pair bias baseline,42209,422,2,0.5713,1.183,1.178
biasnorm,AF3 atom pair bias baseline,42210,422,2,0.5625,1.184,1.16
biasnorm,AF3 atom pair bias baseline,42211,422,2,0.5591,1.183,1.154
biasnorm,AF3 atom pair bias baseline,42212,422,2,0.5501,1.237,1.137
biasnorm,AF3 atom pair bias baseline,42213,422,2,0.5648,1.23,1.167
biasnorm,AF3 atom pair bias baseline,42214,422,2,0.5616,1.207,1.159
biasnorm,AF3 atom pair bias baseline,42215,422,2,0.5563,1.227,1.149
biasnorm,AF3 atom pair bias baseline,42216,422,2,0.5424,1.233,1.122
biasnorm,AF3 atom pair bias baseline,42217,422,2,0.553,1.216,1.142
biasnorm,AF3 atom pair bias baseline,42218,422,2,0.5525,1.186,1.14
biasnorm,AF3 atom pair bias baseline,42219,422,2,0.5372,1.207,1.111
biasnorm,AF3 atom pair bias baseline,42220,422,2,0.5361,1.209,1.108
biasnorm,AF3 atom pair bias baseline,42221,422,2,0.5435,1.234,1.124
biasnorm,AF3 atom pair bias baseline,42222,422,2,0.5516,1.147,1.138
biasnorm,AF3 atom pair bias baseline,42223,422,2,0.5356,1.196,1.107
biasnorm,AF3 atom pair bias baseline,42224,422,2,0.5393,1.154,1.113
biasnorm,AF3 atom pair bias baseline,42225,422,2,0.5336,1.218,1.104
biasnorm,AF3 atom pair bias baseline,42226,422,2,0.5345,1.236,1.106
biasnorm,AF3 atom pair bias baseline,42227,422,2,0.5269,1.182,1.089
biasnorm,AF3 atom pair bias baseline,42228,422,2,0.5256,1.214,1.088
biasnorm,AF3 atom pair bias baseline,42229,422,2,0.5363,1.24,1.11
biasnorm,AF3 atom pair bias baseline,42230,422,2,0.5335,1.234,1.104
biasnorm,AF3 atom pair bias baseline,42231,422,2,0.5372,1.189,1.11
biasnorm,AF3 atom pair bias baseline,42232,422,2,0.5275,1.198,1.091
biasnorm,AF3 atom pair bias baseline,42233,422,2,0.5408,1.125,1.115
biasnorm,AF3 atom pair bias baseline,42234,422,2,0.525,1.203,1.086
biasnorm,AF3 atom pair bias baseline,42235,422,2,0.534,1.22,1.105
biasnorm,AF3 atom pair bias baseline,42236,422,2,0.5079,1.245,1.053
biasnorm,AF3 atom pair bias baseline,42237,422,2,0.5265,1.218,1.089
biasnorm,AF3 atom pair bias baseline,42238,422,2,0.5218,1.211,1.08
biasnorm,AF3 atom pair bias baseline,42239,422,2,0.5277,1.262,1.093
biasnorm,AF3 atom pair bias baseline,42240,422,2,0.5069,1.17,1.049
biasnorm,AF3 atom pair bias baseline,42241,422,2,0.5226,1.192,1.081
biasnorm,AF3 atom pair bias baseline,42242,422,2,0.5179,1.235,1.073
biasnorm,AF3 atom pair bias baseline,42243,422,2,0.5146,1.219,1.066
biasnorm,AF3 atom pair bias baseline,42244,422,2,0.5155,1.194,1.067
biasnorm,AF3 atom pair bias baseline,42245,422,2,0.5152,1.192,1.066
biasnorm,AF3 atom pair bias baseline,42246,422,2,0.5221,1.178,1.08
biasnorm,AF3 atom pair bias baseline,42247,422,2,0.5182,1.196,1.072
biasnorm,AF3 atom pair bias baseline,42248,422,2,0.5178,1.161,1.07
biasnorm,AF3 atom pair bias baseline,42249,422,2,0.5124,1.225,1.062
biasnorm,AF3 atom pair bias baseline,42250,422,2,0.5076,1.25,1.053
biasnorm,AF3 atom pair bias baseline,42251,422,2,0.4903,1.272,1.019
biasnorm,AF3 atom pair bias baseline,42252,422,2,0.4921,1.214,1.021
biasnorm,AF3 atom pair bias baseline,42253,422,2,0.5047,1.174,1.045
biasnorm,AF3 atom pair bias baseline,42254,422,2,0.4937,1.164,1.022
biasnorm,AF3 atom pair bias baseline,42255,422,2,0.5013,1.219,1.039
biasnorm,AF3 atom pair bias baseline,42256,422,2,0.4931,1.234,1.023
biasnorm,AF3 atom pair bias baseline,42257,422,2,0.5008,1.289,1.04
biasnorm,AF3 atom pair bias baseline,42258,422,2,0.5003,1.176,1.036
biasnorm,AF3 atom pair bias baseline,42259,422,2,0.4959,1.197,1.028
biasnorm,AF3 atom pair bias baseline,42260,422,2,0.4967,1.174,1.029
biasnorm,AF3 atom pair bias baseline,42261,422,2,0.4899,1.2,1.016
biasnorm,AF3 atom pair bias baseline,42262,422,2,0.4919,1.201,1.02
